ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
136,21-1,21,Magic with Wands,Wandering Wand and Envelope,Wand from Pocketbook,0:25:56,2,50,"Spectator selects 2 empty envelopes. Magician places marker in 1 envelope and makes it go from 1 to the other, then back again.  Then he switches envelopes with spectator (to ""make the magic happen"").  Then says ""without switching envelopes"", and pulls marker out of spectators envelope and places it in his.  Then seals the marker in his envelope and puts the spectators envelope in the spectators pocket.  Magician crushes his envelope and spectator pulls his envelope out of his pocket to reveal the marker in his envelope.  ",A long wand is drawn from a previously empty purse.,NONE
137,21-1,21,Magic with Wands,Building a Wand,Cigar from Pocketbook,0:32:32,---,---,how to buiild a magic wand,A large examinable cigar is pulled from a previously empty small purse. Wand,NONE
138,21-1,21,Magic with Wands,Wand from Pocketbook,Wand from Card Case,0:36:44,2,51,"Magician retrieves magic wand from tiny coin purse.  After using the wand, shoves the wand back into tiny coin purse.",A wand is extracted from a card case.,NONE
139,21-1,21,Magic with Wands,Cigar from Pocketbook,Simplex Handkerchief Producing Wand,0:45:17,2,53,"Magician pulls permanent marker from tiny coin purse and proceeds to do coin trick where 1 spectator signs a coin, 1 spectator selects a card and replaces in the deck.  Coin is placed in coin purse which spectator 1 covers with hand.  Cards are dribbled on table in messy pile.  Permanent marker is waved around like magic wand.  Coin has appeared just above selected card in deck.",A piece of paper is rolled into a tube. A wand is pushed through the tube to show it is empty. Silks are then produced from the tube.,NONE
140,21-1,21,Magic with Wands,Wand from Card Case,Vanishing Handkerchief Wand,0:54:17,2,54,Magician pulls wand from cardcase ,A sheet of paper is formed into a cone. A silk is pushed into the cone with a wand. The silk vanishes.,NONE
141,21-1,21,Magic with Wands,Simplex Hank Producing Wand,The Rising Wand,0:56:22,2,55,Magician shows empty tube. Pushes wand through tube. Silk appears in tube,A wand rises by itself in the performer's hand.,NONE
142,21-1,21,Magic with Wands,Vanishing Handkerchief Wand,Sure Grip Magnetized Wand,1:03:27,2,56,"Magician pulls multiple objects from spectators wallet, putting them into a large cone the spectator holds. After pulling lots of items out of the wallet and just about filling the cone, the magician takes the cone, covers it with a silk, uses his wand to push down on the silk. Everything in the cone has vanished, including the silk. ",A wand clings to the performer's palm without visible support. Even a handkerchief between the wand and the hand doesn't prevent it from clinging.,NONE
143,22-1,21,Double Paper Mysteries,Superb Handkerchief Vanish,Tarbell's Magnetized Wand,0:00:09,2,79,Handkerchief goes into a paper cone and vanishes.,A wand mysteriously hangs from the performers hand in various positions and can even be passed from hand to hand.,NONE
144,22-1,21,Double Paper Mysteries,The Ghostly Silk,Edward's Magnetic Wand,0:02:57,2,82,"Handkerchief is removed several times from lunch bag and keeps reappearing.  All the while, a spectator hold another lunch bag tightly.  Magician finally places handkerchief into his lunchbag, rips lunch bag open to reveal handkerchief has vanished.  Spectator now opens theirs and pulls out handkerchief.",A silk is touched by a wand and clings to the wand. Sponge balls do likewise. Three cards selected from a deck of card are pulled out by the 'magnetic' wand.,NONE
145,22-1,21,Double Paper Mysteries,Puffing Rice in a Cone,An Emergency Magnetic Wand,0:23:47,2,85,"Magician takes single unpopped kernal of corn and tosses it into a lunch bag.  It pops.  He eats it and shows the bag empty.  He then pours lots of unpopped kernals into the bag.  Makes a magical gesture and dumps the bag into several cups, filling them up with popped popcorn.",A tip for a simplified version.,NONE
146,22-1,21,Double Paper Mysteries,The Two Way Paper Cone,The Penetrative Wand,0:37:50,2,86,"Handkerchief goes into a paper cone and when pulled out, has changed color.  ","A wand can be pushed into the spectator's body, swallowed almost completely, or pushed into a boy's head.",NONE
147,22-1,21,Double Paper Mysteries,Cut and Restored Handkerchief,Card in the Egg Wand,0:40:53,2,88,Handkerchief is cut with scissors.  Spectator holds lunch bag.  Both pieces of handkerchief are placed in lunch bag.  Thread and needle are placed in lunch bag.  Spectator reaches into lunch bag and pulls out needle and thread and the handkerchief is now attached to them and they have been sewn together.  All are placed back into bag.  Spectator holds bag.  Magical gesture.  Spectator opens bag and pulls out fully restored handkerchief,"A card is selected and torn. Spectator keeps one piece. Rest of the pieces are vanished. An egg is tapped by the wand, broken open, and the card is found inside, restored except for the missing piece.",NONE
148,22-1,21,Double Paper Mysteries,The Cards and Ribbons,Rising Ring on Wand,1:08:10,2,89,"Spectator is handed lunch bag.  Spectator pulls out string and playing cards.  Spectator selects a card.  Magician selects a card.  Both sign their cards in different colored markers.  Magician places his card back in deck.  Spectator shuffles.  Spectator places his card back in deck.  Magician shuffles.  Magician places cards into bag.  Magician places string into bag, but holds onto 1 end.  Wriggles string and slowly pulls out string.  One card is connected to string.  It's the magicians card.  Spectator does the same and as he pulls out string, multiple cards are attached to string.  In fact, the whole deck is attached, EXCEPT his card.  ",A borrowed finger ring rises on command when placed on magician's wand.,NONE
149,22-2,21,Double Paper Mysteries,Royal Paper Cone,Ireland's Growing Wand,0:00:04,2,91,"How to make Royal paper cone.  Tissue paper is torn up into several pieces.  Pieces dropped into a cone.  Spectator reaches in and pulls out tissue paper chain.  Cone is shown empty and changes to Christmas tree, chain is wrapped around tree to decorate.  Spectator is handed colored markers.  Magician shows another empty cone where a blank paper is placed.  Magician closes cone.  Spectator draws imaginary picture of Santa in the air with colored markers.  Spectator pulls out paper and reveals a picture of Santa.  Magician turns cone into Santa's hat.  Magician pulls out wine glass and shows he's wearing Christmas socks.  He pulls 1 out of his pocket.  He ties 2 silks together.  He places silks in wine glass, has spectator place sock in cone.  Closes cone.  Spectator holds wine glass.  Magician counts to 3.  He opens cone to show sock is disappeared.  Spectator pulls on 1 of the silks to show sock in between both of the silks.  Magician turns cone into New Years party hat.",A match sized wand changes to a 5' wand and then a large wand.,NONE
150,22-2,21,Double Paper Mysteries,Century Card Vanishing Paper,Frank Kelly Vanishing Wand Routine,0:31:50,2,92,"Magician pulls trick instructions out of an envelope along with a smaller envelope labled ""For Emergency Use Only"". Magician and spectator begin reading and following instructions including having spectator select card and wrap it in the instructions.  Magician waves hand over it.  It doesn't disappear.  Spectator gives magician driver's license which goes into the instructions with the card.  With another wave, both disappear.  Spectator spreads cards to reveal their card face up.  Emergency envelope is opened, spectator reaches in and pulls out their license.","A wand is vanished in a sheet of paper, to wind up hanging on the spectator's back (uses P-L wand)",NONE
151,22-2,22,Double Paper Mysteries,Acme Coin Vanishing Paper,Double Paper Mysteries,0:48:09,2,92,Coin is folded inside paper and vanishes.  Paper is folded again and coin returns.  ,,NONE
152,22-2,22,Double Paper Mysteries,Modern Coin Vanishing Paper and Coin through the Saucer,Superba Paper Cone for Handkerchief Vanish,0:58:15,2,94,"Coin is selected and sign.  It is placed on paper and paper is folded to trap it.  Spectator uses tweezers to hold folded paper.  Canning jar is put together (Lid is placed on).  Paper is placed on top of canning jar.  Lighter fluid is sprayed on paper.  Paper is lit on fire.  Quarter drops through lid.  When jar is opened, quarter is found to be signed quarter.  Lid has no hole.","Paper is folded into a cone. A handkerchief is placed inside, and the top of the cone folded over. The handkerchief disappears.",NONE
153,23-1,22,Magic with Coins,Misers Dream,The Ghostly Silk,0:00:09,2,99,"Magician makes lots of coins appear and drops them in glass.  At end, makes dollar bill flower ball appear.  ","Paper is rolled into a cylinder and a silk is placed inside. Performer apparently removes silk and puts it in pocket, but it is still in the paper. Next, someone from backstage apparently removes the silk, but it is still there. Finally the silk disappears, to be found in a formerly empty glass.",NONE
154,23-1,22,Magic with Coins,Hand to Hand Flight of 4 coins,Puffing Rice in a Cone,0:42:48,2,108,"Magician has 1 English penny and 4 quarters.  English penny goes in left hand, quarters in right.  1 at a time, the quarters pass.  With the last quarter, A spectator covers the English penny and 3 quarters and another spectator holds the magicians wrist.  He opens his hand to reveal the final quarter gone.  Spectator moves her hand to show English penny and all 4 quarters.","A paper is folded into a cone. Rice in a dish is shown, and a handful is dropped into the cone. Puffed rice is poured out of the cone!",NONE
155,23-1,22,Magic with Coins,Passe Coins and Glasses,The Two-Way Paper Cone,0:57:49,2,112,3 coins get sealed in a canning jar. 1-by-1 they pass from the jar to a glass.  ,How to construct and 11 ideas for using it.,NONE
156,23-2,22,Magic with Coins,The Passe Coins from Hand to Hand,Royal Paper Cone,0:00:00,2,118,"1 at a time, 4 half dollars go from 1 hand to another. (shell)","Vanish or produce small objects, like a torn playing card.",NONE
157,23-2,22,Magic with Coins,The Phantom Coin,Century Card Vanishing Paper,0:16:21,2,122,"2 coins go from 1 side of the table to another, then under a coin purse, then into a coin purse.  A Sharpie separates the coins in the middle of the table.  In the middle of the routine, the Sharpie vanishes. (shell)",Vanish one or a few playing cards,NONE
158,23-2,22,Magic with Coins,Coin in the Magical Envelopes,Acme Coin Vanishing Paper,0:32:58,2,123,"Spectator is handed a folded piece of paper. Borrowed, signed quarter is vanished. When spectator pulls out paper, it is now folded into 3 nested envelopes.  Spectator opens each envelope 1 by 1 and magician rips them up.  Envelope #3 contains the signed quarter.  Magician restores the envelopes and makes the quarter vanish again.  Once again, the envelopes are opened 1 by 1 and #3 contains the signed quarter.  Papers are restored to original paper once again.  ",Vanish or produce a coin.,NONE
159,24-1,22,Cigarette Magic,Intro To Cig Magic,Modern Coin Vanishing Paper,0:00:14,2,131,---,a variation of the above.,NONE
160,24-1,22,Cigarette Magic,Push in Vanish,Coin through the Saucer,0:02:06,2,131,---,Using a vanishing paper to have a coin penetrate the center of a glass saucer and land in a glass.,NONE
161,24-1,23,Cigarette Magic,Pick up Vanish,Magic with Coins,0:04:12,2,132,---,,NONE
162,24-1,23,Cigarette Magic,Pivot Vanish,Miser's Dream,0:05:19,2,133,---,Coins are produced from the air and thrown into a hat.,NONE
163,24-1,23,Cigarette Magic,Front and Back Hand Palm,Hand to Hand Flight of Four Coins,0:07:13,2,134,---,A gold coin in the left hand attracts silver coins in the right hand one by one.,NONE
164,24-1,23,Cigarette Magic,Throwing Vanish,The Passe Coins and Glasses,0:11:19,2,135,---,Five coins are counted into a glass and held in one hand. The other hand holds an empty glass. One by one the coins pass from the one glass to the other.,NONE
165,24-1,23,Cigarette Magic,Pull-away Vanish,The Passe Coins from Hand to Hand,0:13:55,2,136,---,Four coins pass one at a time from one hand to the other. (Uses shell),NONE
166,24-1,23,Cigarette Magic,To Vanish Cigarette up the Nose and Produce from Ear,The Phantom Coin,0:14:35,2,137,---,two quick tricks using a shell,NONE
167,24-1,23,Cigarette Magic,Swallowing a Cigarette,The Coin in the Magical Envelopes,0:17:16,2,137,---,"A borrowed, marked coin is wrapped in newspaper and handed to the spectator. Upon opening, however, the paper had changed into a paper envelope, with another envelope, with a third envelope inside. The marked coin is found inside. This is repeated. The envelopes are offered to the spectator as a souvenir, but change back to the normal newspaper.",NONE
168,24-1,24,Cigarette Magic,Vanish and Production Paul Fox,Cigarette Magic,0:18:11,2,138,---,,NONE
169,24-1,24,Cigarette Magic,Multiplying Cigarette,The Push-In Vanish,0:23:18,2,139,---,A cigarette is pushed into the hand and vanishes.,NONE
170,24-1,24,Cigarette Magic,Change Over Palm,The Pick-Up Vanish,0:25:06,2,141,---,"a lighted cigarette is taken from the right hand by the left and vanishes, to be produced elsewhere.",NONE
